SOC (%), Capacity (mAh), Current (A), Voltage (V), Time
99.7072,0.0997072,0.21082,4.19589,01:49:13
99.4144,0.0994144,0.21082,4.19178,01:49:13
99.1204,0.0991204,0.211641,4.18766,01:49:13
98.8265,0.0988265,0.211641,4.18354,01:49:13
98.5325,0.0985325,0.211641,4.17941,01:49:13
98.2386,0.0982386,0.211641,4.17529,01:49:13
97.9446,0.0979446,0.211641,4.17117,01:49:13
97.6507,0.0976507,0.211641,4.16706,01:49:13
97.3579,0.0973579,0.21082,4.16296,01:49:13
97.0639,0.0970639,0.211641,4.15885,01:49:13
96.77,0.09677,0.211641,4.15475,01:49:13
96.4761,0.096476,0.211641,4.15065,01:49:13
96.1821,0.0961821,0.211641,4.14655,01:49:13
95.8882,0.0958882,0.211641,4.14246,01:49:13
95.5953,0.0955953,0.21082,4.13839,01:49:14
95.3025,0.0953025,0.21082,4.13433,01:49:14
95.0086,0.0950086,0.211641,4.13026,01:49:14
94.7146,0.0947146,0.211641,4.12619,01:49:14
94.4207,0.0944207,0.211641,4.12214,01:49:14
94.1279,0.0941279,0.21082,4.1181,01:49:14
93.8339,0.0938339,0.211641,4.11406,01:49:14
93.54,0.09354,0.211641,4.11002,01:49:14
93.246,0.093246,0.211641,4.10599,01:49:14
92.9521,0.0929521,0.211641,4.10198,01:49:14
92.6581,0.0926581,0.211641,4.09797,01:49:14
92.3653,0.0923653,0.21082,4.09399,01:49:14
92.0714,0.0920714,0.211641,4.09,01:49:14
91.7774,0.0917774,0.211641,4.08602,01:49:14
91.4846,0.0914846,0.21082,4.08207,01:49:14
